domain,class_modifier,class_ncit,class_prefLabel,prop,label,range,cardinality,ncit,prefLabel,definition,relationshipType,modelName,modelRepresentation,boundCodelist,boundCodelistNote
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-intentTypes,InterventionalStudyDesign-intentTypes,Code,0..*,C49652,Trial Intent Type,"The planned purpose of the therapy, device, or agent under study in the clinical trial.",Value,intentTypes,Attribute,C66736,Y (SDTM Terminology Codelist C66736)
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-extensionAttributes,InterventionalStudyDesign-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-analysisPopulations,InterventionalStudyDesign-analysisPopulations,AnalysisPopulation,0..*,,,,Value,,,,
Masking,Concrete,C191278,Masking,Masking-extensionAttributes,Masking-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
MedicalDevice,Concrete,C16830,Medical Device,MedicalDevice-sourcing,MedicalDevice-sourcing,Code,0..1,C215619,Medical Device Sourcing,An indication as to whether the medical device is obtained from a local or central source.,Value,sourcing,Attribute,C215482,Y (C215482)
MedicalDevice,Concrete,C16830,Medical Device,MedicalDevice-notes,MedicalDevice-notes,CommentAnnotation,0..*,C215618,Medical Device Notes,A brief written record relevant to the medical device.,Value,notes,Attribute,,
MedicalDevice,Concrete,C16830,Medical Device,MedicalDevice-embeddedProductId,MedicalDevice-embeddedProductId,AdministrableProduct,0..1,,,A USDM relationship between the MedicalDevice and AdministrableProduct classes which identifies the administrable product that is an integral component of the medical device.,Ref,embeddedProduct,Relationship,,
MedicalDevice,Concrete,C16830,Medical Device,MedicalDevice-identifiers,MedicalDevice-identifiers,MedicalDeviceIdentifier,0..*,,,A USDM relationship between the MedicalDevice and MedicalDeviceIdentifier classes which provides the set of identifiers related to the medical device.,Value,identifiers,Relationship,,
MedicalDevice,Concrete,C16830,Medical Device,MedicalDevice-extensionAttributes,MedicalDevice-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
MedicalDeviceIdentifier,Concrete,C215501,Medical Device Identifier,MedicalDeviceIdentifier-type,MedicalDeviceIdentifier-type,Code,1,C215621,Medical Device Identifier Type,A characterization or classification of the medical device identifier.,Value,type,Attribute,C215484,Y (C215484)
