target_class,attribute,declaring_class,range_kind
ExtensionAttribute,ScheduledActivityInstance-extensionAttributes,ScheduledActivityInstance,direct
ExtensionAttribute,ScheduledDecisionInstance-extensionAttributes,ScheduledDecisionInstance,direct
ExtensionAttribute,Strength-extensionAttributes,Strength,direct
ExtensionAttribute,Study-extensionAttributes,Study,direct
ExtensionAttribute,StudyAmendment-extensionAttributes,StudyAmendment,direct
ExtensionAttribute,StudyAmendmentImpact-extensionAttributes,StudyAmendmentImpact,direct
ExtensionAttribute,StudyAmendmentReason-extensionAttributes,StudyAmendmentReason,direct
ExtensionAttribute,StudyArm-extensionAttributes,StudyArm,direct
ExtensionAttribute,StudyCell-extensionAttributes,StudyCell,direct
ExtensionAttribute,StudyChange-extensionAttributes,StudyChange,direct
ExtensionAttribute,StudyCohort-extensionAttributes,StudyCohort,direct
ExtensionAttribute,StudyDefinitionDocument-extensionAttributes,StudyDefinitionDocument,direct
ExtensionAttribute,StudyDefinitionDocumentVersion-extensionAttributes,StudyDefinitionDocumentVersion,direct
ExtensionAttribute,StudyDesignPopulation-extensionAttributes,StudyDesignPopulation,direct
ExtensionAttribute,StudyElement-extensionAttributes,StudyElement,direct
ExtensionAttribute,StudyEpoch-extensionAttributes,StudyEpoch,direct
ExtensionAttribute,StudyIdentifier-extensionAttributes,StudyIdentifier,direct
ExtensionAttribute,StudyIntervention-extensionAttributes,StudyIntervention,direct
ExtensionAttribute,StudyRole-extensionAttributes,StudyRole,direct
ExtensionAttribute,StudySite-extensionAttributes,StudySite,direct
ExtensionAttribute,StudyTitle-extensionAttributes,StudyTitle,direct
ExtensionAttribute,StudyVersion-extensionAttributes,StudyVersion,direct
ExtensionAttribute,SubjectEnrollment-extensionAttributes,SubjectEnrollment,direct
ExtensionAttribute,Substance-extensionAttributes,Substance,direct
ExtensionAttribute,SyntaxTemplateDictionary-extensionAttributes,SyntaxTemplateDictionary,direct
ExtensionAttribute,Timing-extensionAttributes,Timing,direct
ExtensionAttribute,TransitionRule-extensionAttributes,TransitionRule,direct
ExtensionClass,ExtensionAttribute-valueExtensionClass,ExtensionAttribute,direct
GeographicScope,GovernanceDate-geographicScopes,GovernanceDate,direct
GeographicScope,StudyAmendment-geographicScopes,StudyAmendment,direct
GeographicScope,SubjectEnrollment-forGeographicScope,SubjectEnrollment,direct
GovernanceDate,StudyAmendment-dateValues,StudyAmendment,direct
GovernanceDate,StudyDefinitionDocumentVersion-dateValues,StudyDefinitionDocumentVersion,direct
GovernanceDate,StudyVersion-dateValues,StudyVersion,direct
Indication,StudyCohort-indicationIds,StudyCohort,direct
Indication,StudyDesign-indications,StudyDesign,direct
Ingredient,AdministrableProduct-ingredients,AdministrableProduct,direct
IntercurrentEvent,Estimand-intercurrentEvents,Estimand,direct
Masking,StudyRole-masking,StudyRole,direct
MedicalDevice,Administration-medicalDeviceId,Administration,direct
MedicalDevice,StudyVersion-medicalDevices,StudyVersion,direct
MedicalDevice,ProductOrganizationRole-appliesToIds,ProductOrganizationRole,via_union
MedicalDeviceIdentifier,MedicalDevice-identifiers,MedicalDevice,direct
NarrativeContent,NarrativeContent-childIds,NarrativeContent,direct
NarrativeContent,NarrativeContent-nextId,NarrativeContent,direct
NarrativeContent,NarrativeContent-previousId,NarrativeContent,direct
NarrativeContent,StudyDefinitionDocumentVersion-contents,StudyDefinitionDocumentVersion,direct
NarrativeContentItem,NarrativeContent-contentItemId,NarrativeContent,direct
NarrativeContentItem,StudyVersion-narrativeContentItems,StudyVersion,direct
Objective,StudyDesign-objectives,StudyDesign,direct
Organization,AssignedPerson-organizationId,AssignedPerson,direct
Organization,Identifier-scopeId,Identifier,direct
Organization,ProductOrganizationRole-organizationId,ProductOrganizationRole,direct
Organization,StudyRole-organizationIds,StudyRole,direct
Organization,StudyVersion-organizations,StudyVersion,direct
ParameterMap,SyntaxTemplateDictionary-parameterMaps,SyntaxTemplateDictionary,direct
PersonName,AssignedPerson-personName,AssignedPerson,direct
PopulationDefinition,AnalysisPopulation-subsetOfIds,AnalysisPopulation,direct
PopulationDefinition,StudyArm-populationIds,StudyArm,direct
Procedure,Activity-definedProcedures,Activity,direct
Procedure,Condition-appliesToIds,Condition,via_union
ProductOrganizationRole,StudyVersion-productOrganizationRoles,StudyVersion,direct
Quantity,AdministrableProductProperty-quantity,AdministrableProductProperty,direct
Quantity,Administration-dose,Administration,direct
Quantity,ExtensionAttribute-valueQuantity,ExtensionAttribute,direct
Quantity,Range-maxValue,Range,direct
Quantity,Range-minValue,Range,direct
Quantity,Strength-denominator,Strength,direct
Quantity,StudyIntervention-minimumResponseDuration,StudyIntervention,direct
Quantity,SubjectEnrollment-quantity,SubjectEnrollment,direct
QuantityRange,Duration-quantity,Duration,direct
QuantityRange,PopulationDefinition-plannedCompletionNumber,PopulationDefinition,direct
QuantityRange,PopulationDefinition-plannedEnrollmentNumber,PopulationDefinition,direct
QuantityRange,Strength-numerator,Strength,direct
Range,ExtensionAttribute-valueRange,ExtensionAttribute,direct
Range,PopulationDefinition-plannedAge,PopulationDefinition,direct
ReferenceIdentifier,StudyVersion-referenceIdentifiers,StudyVersion,direct
ResponseCode,BiomedicalConceptProperty-responseCodes,BiomedicalConceptProperty,direct
ScheduleTimeline,Activity-timelineId,Activity,direct
ScheduleTimeline,ScheduledActivityInstance-timelineId,ScheduledActivityInstance,direct
ScheduleTimeline,StudyDesign-scheduleTimelines,StudyDesign,direct
ScheduleTimelineExit,ScheduleTimeline-exits,ScheduleTimeline,direct
ScheduleTimelineExit,ScheduledActivityInstance-timelineExitId,ScheduledActivityInstance,direct
ScheduledActivityInstance,Condition-contextIds,Condition,via_union
ScheduledInstance,ConditionAssignment-conditionTargetId,ConditionAssignment,direct
ScheduledInstance,ScheduleTimeline-entryId,ScheduleTimeline,direct
ScheduledInstance,ScheduleTimeline-instances,ScheduleTimeline,direct
ScheduledInstance,ScheduledInstance-defaultConditionId,ScheduledInstance,direct
ScheduledInstance,Timing-relativeFromScheduledInstanceId,Timing,direct
ScheduledInstance,Timing-relativeToScheduledInstanceId,Timing,direct
Strength,Substance-strengths,Substance,direct
StudyAmendment,StudyAmendment-previousId,StudyAmendment,direct
StudyAmendment,StudyVersion-amendments,StudyVersion,direct
StudyAmendmentImpact,StudyAmendment-impacts,StudyAmendment,direct
StudyAmendmentReason,StudyAmendment-primaryReason,StudyAmendment,direct
StudyAmendmentReason,StudyAmendment-secondaryReasons,StudyAmendment,direct
StudyArm,StudyCell-armId,StudyCell,direct
StudyArm,StudyDesign-arms,StudyDesign,direct
StudyCell,StudyDesign-studyCells,StudyDesign,direct
StudyChange,StudyAmendment-changes,StudyAmendment,direct
StudyCohort,StudyDesignPopulation-cohorts,StudyDesignPopulation,direct
StudyCohort,SubjectEnrollment-forStudyCohortId,SubjectEnrollment,direct
StudyDefinitionDocument,DocumentContentReference-appliesToId,DocumentContentReference,direct
StudyDefinitionDocument,Study-documentedBy,Study,direct
StudyDefinitionDocument,StudyDefinitionDocument-childIds,StudyDefinitionDocument,direct
StudyDefinitionDocumentVersion,StudyDefinitionDocument-versions,StudyDefinitionDocument,direct
StudyDefinitionDocumentVersion,StudyDesign-documentVersionIds,StudyDesign,direct
StudyDefinitionDocumentVersion,StudyVersion-documentVersionIds,StudyVersion,direct
StudyDesign,StudyVersion-studyDesigns,StudyVersion,direct
StudyDesign,StudyRole-appliesToIds,StudyRole,via_union
StudyDesignPopulation,StudyDesign-population,StudyDesign,direct
StudyElement,StudyCell-elementIds,StudyCell,direct
StudyElement,StudyDesign-elements,StudyDesign,direct
StudyEpoch,ScheduledInstance-epochId,ScheduledInstance,direct
StudyEpoch,StudyCell-epochId,StudyCell,direct
StudyEpoch,StudyDesign-epochs,StudyDesign,direct
StudyEpoch,StudyEpoch-nextId,StudyEpoch,direct
StudyEpoch,StudyEpoch-previousId,StudyEpoch,direct
StudyIdentifier,StudyVersion-studyIdentifiers,StudyVersion,direct
StudyIntervention,Estimand-interventionIds,Estimand,direct
StudyIntervention,Procedure-studyInterventionId,Procedure,direct
StudyIntervention,StudyDesign-studyInterventionIds,StudyDesign,direct
